"","LnL","numparams","d","e","j","AIC","AIC_wt"
"DEC",-728.242586136172,2,0.01,0.01,0,1460.48517227234,1.58241602109657e-65
"DIVALIKE",-579.033507897949,2,0.00262398359894217,0.00123260494304271,0,1162.0670157959,1
"BAYAREALIKE",-525.2066451491,2,0.000902806334797053,0.0220591975166705,0,1054.4132902982,1
