"","LnL","numparams","d","e","j","AIC","AIC_wt"
"DEC",-875.819899473442,2,0.01,0.01,0,1755.63979894688,3.22113908697962e-126
"DIVALIKE",-586.863912806913,2,0.00202373457013023,1e-12,0,1177.72782561383,1
"BAYAREALIKE",-507.831160090123,2,0.00054828508182557,0.0137547416939651,0,1019.66232018025,1
